Tree Number,Distance from Focal Tree,Diameter at Breast Height,Species,dD,dD
201,0,49.1,Black,-34.8679303,-17.20902887
217,2.8,15.6,Chestnut,-33.44528046,4.673027586
202,4.2,27.8,Black,-35.56590587,-33.70073515
213,5.5,35.6,Chestnut,-39.64163135,-47.08178542
216,5.501,20.3,Chestnut,-49.00327609,-45.30112041
205,5.6,23.8,Chestnut,-36.44285596,
209,5.8,19.8,White,-40.56863113,-33.3752452
214,6.5,10.4,Chestnut,-31.81772214,-50.26535923
218,6.7,26.7,Chestnut,,-37.37202571
206,7.7,17.7,White,-38.64865272,-42.66366035
215,8.3,39.8,Black,-43.7828136,-17.34404646
203,8.7,38.6,Chestnut,-28.57353627,-33.64491906
207,9,22.3,Chestnut,-46.48510199,-38.51293594
208,9.7,19.8,Chestnut,-36.18975905,-35.88068348
212,9.8,19,White,-42.66425322,-48.37930599
204,10.6,34.8,Black,-40.03732342,-45.61963778
210,10.8,14.6,Chestnut,-33.18329678,-38.9394881
220,11,16.2,Chestnut,,-40.72100881
211,11.6,16.7,Chestnut,-33.00352373,
219,12,21.2,Chestnut,-34.10149885,-39.79538771
